cell,optn,beta,batch,lr,steps_measured,status,diverged,n_window,kappa_raw,r1_dxu,omega_star_over_pi,gain,kappa_spec,kappa_spec_ci_lo,kappa_spec_ci_hi,kappa_drift,stationary,res_limited,kappa_spec_fixed,kappa_spec_h1,kappa_spec_h2,gbs_med,gbs_q25,gbs_q75,gbs_mean,gbs_n,gbs_over_kspec,death_step,healthy_frac,n_healthy,kappa_spec_fullwin,gbs_med_fullwin,halves_agree,ok,why
L_b512_beta0.9_s1,SGD-Momentum,0.9,512,0.008,16000,done,False,4621,3.6478828125000002,-0.8801863378351196,0.8538139757600096,0.5494375781055352,2.004283897712808,1.9988462959305484,2.009594193777655,0.002513764934284124,True,False,1.979096746231825,2.004068495071584,2.002357766952821,1.949532130844434,1.757758608698403,2.1684502365503686,1.9914032239849115,4594,0.9726826289774347,8621,0.4389166666666667,4594,2.007786439147982,2.138585395575072,True,True,
L_b512_beta0.9_s2,SGD-Momentum,0.9,512,0.008,16000,done,False,3879,3.63090087890625,-0.8822642278371575,0.8560717442422675,0.5483849090236772,1.9911312481529937,1.9764064272441677,2.0029505126024265,-0.0019465685292430202,True,False,1.968222207034239,1.9893571068742006,1.9892001948804543,1.9720803942761216,1.7797397427992376,2.193344403192948,2.014078738686506,3846,0.9904321455983658,7879,0.3319166666666667,3846,1.991723656994216,2.3123867396736246,True,True,
L_b512_beta0.9_s3,SGD-Momentum,0.9,512,0.008,16000,done,False,4356,3.6490660400390627,-0.8868407997009712,0.8572622523069399,0.5459060621002528,1.9920472722614884,1.9864812843044881,2.0023740832642596,-0.002298457392018727,True,False,1.9842142565827225,1.9919201368991768,1.9918068640720514,1.9670402715235535,1.7833747844280636,2.183917529579672,1.9621027334318257,4291,0.9874465826759495,8356,0.37383333333333335,4291,1.993595478350279,2.3009316320765567,True,True,
L_b512_beta0.9_s4,SGD-Momentum,0.9,512,0.008,16000,done,False,4321,3.6895700683593753,-0.9039336077775612,0.8760976149833848,0.5453057674520063,2.0119438376946603,1.9948283764192867,2.018188496753774,-0.0019159439118265897,True,False,1.987930438757614,2.0119303557633033,2.0145326051308885,1.9980747392044476,1.8106155471528231,2.203919296879221,2.037113293798633,4304,0.9931066174759111,8321,0.36866666666666664,4304,2.0087382564537397,2.2813445112003974,True,True,
L_b64_beta0.9_s0,SGD-Momentum,0.9,64,0.0055,24000,done,False,18000,1.184851364135742,0.32737378409062523,0.4401275323007901,0.873145176047951,1.0345472529289577,1.0324755986210763,1.0606845566532455,1.8494832430437924e-05,True,False,1.114857472001062,1.0346800139868246,1.0375652659406633,1.0195395076963454,0.8630576529054198,1.2458445364456954,0.5712758318512432,17988,0.9854934173474212,,0.9993333333333333,17988,1.0345472529289577,1.0193820403735343,True,True,
L_b64_beta0.9_s1,SGD-Momentum,0.9,64,0.0055,24000,done,False,18000,1.2034070243835449,0.31856901362795037,0.4328872908692635,0.8734015300578791,1.0510575363789876,1.0445140435070959,1.0639920833504388,0.005843580230601386,True,False,1.1361551255521,1.0510616576691845,1.0610161871162778,1.0284265652989029,0.867016098179768,1.252222550538508,1.1528198574673019,17957,0.9784683803723524,,0.9976111111111111,17957,1.0510575363789876,1.028367737679293,True,True,
L_b8_beta0.99_s0,SGD-Momentum,0.99,8,0.0001,30000,done,False,22000,0.033625682067871095,0.246355910115009,0.4127584505640742,0.9869714144094252,0.03318758699100838,0.03331251230857941,0.03562863975047768,-0.002978283389923342,True,False,0.12937610010743547,0.03381411944357535,0.03380496299232778,0.1320585895161795,0.0934063653327025,0.20464410234397395,0.1437933535624588,22000,3.9791561089379157,,1.0,22000,0.03318758699100838,0.1320585895161795,True,True,
L_b8_beta0.99_s1,SGD-Momentum,0.99,8,0.0001,30000,done,False,22000,0.03350452117919922,0.2537013157250891,0.4087881010699815,0.9665384237588387,0.032383407089337846,0.03291003627664141,0.03524844535585777,0.02255540913996623,True,False,0.12155695280828167,0.032786089071458115,0.03307098258290781,0.13311997288962388,0.09389226808616008,0.20760854876836973,0.41438039517443037,21997,4.110746362245908,,0.9998636363636364,21997,0.032383407089337846,0.13312241273229874,True,True,
L_b8_beta0.9_s0,SGD-Momentum,0.9,8,0.002,30000,done,False,22000,0.3426868896484375,0.16073196839808226,0.45656866434444626,0.9609598511568216,0.32930834246995666,0.3291673328861222,0.33269546231542296,-0.05714452723577457,True,False,0.528237183091911,0.3287798764010718,0.33213166194052135,0.29434957487110275,0.23826709701176052,0.3676018029356848,0.31884527276681385,22000,0.8938418403352679,,1.0,22000,0.32930834246995666,0.29434957487110275,True,True,
L_b8_beta0.9_s1,SGD-Momentum,0.9,8,0.002,30000,done,False,22000,0.34442973327636717,0.1698696163816712,0.45016459512360496,0.9571238466290295,0.3296619112068872,0.3295600842983561,0.3339298154348718,-0.06040575055606057,True,False,0.5226516919935745,0.32895868540256984,0.33321830745269043,0.29440687601196025,0.23883476691514183,0.3690454984132769,0.31792601294446227,22000,0.8930569956782123,,1.0,22000,0.3296619112068872,0.29440687601196025,True,True,
